iter	RMSE
0	10674.6345
1	9573.66051
2	8655.497739
3	7833.59358
4	7210.03812
5	6655.757697
6	6190.27168
7	5838.426402
8	5512.088968
9	5292.961718
10	5081.082194
11	4906.735759
12	4785.015267
13	4690.303211
14	4596.423542
15	4542.916555
16	4475.65293
17	4433.813863
18	4397.272855
19	4367.359444
20	4341.413206
21	4314.099048
22	4287.19777
23	4270.137366
24	4256.732914
25	4240.158207
26	4223.411634
27	4202.8819
28	4183.939576
29	4172.656408
30	4163.433167
31	4150.429923
32	4146.824045
33	4137.043279
34	4123.005058
35	4113.765446
36	4099.769723
37	4092.910955
38	4083.076373
39	4073.78385
40	4067.353087
41	4063.851174
42	4056.728658
43	4050.559474
44	4044.203443
45	4037.605035
46	4028.917568
47	4021.939388
48	4009.267015
49	4001.462547
50	3999.650814
51	3995.077714
52	3986.754988
53	3983.89726
54	3976.551112
55	3968.338988
56	3962.283137
57	3958.080047
58	3956.274827
59	3947.476985
60	3946.509986
61	3944.599832
62	3935.942774
63	3933.31749
64	3925.504123
65	3923.641406
66	3921.667203
67	3912.965986
68	3906.492
69	3905.186585
70	3896.649745
71	3888.478344
72	3883.991208
73	3876.931746
74	3875.109205
75	3874.28772
76	3871.641331
77	3869.922651
78	3861.726871
79	3861.035549
