iter	Passed	Remaining
0	31	31165
1	68	34105
2	108	36137
3	128	32093
4	179	35636
5	201	33412
6	239	33920
7	280	34815
8	309	34046
9	335	33189
10	372	33498
11	417	34372
12	452	34327
13	489	34460
14	520	34164
15	551	33902
16	580	33544
17	603	32934
18	642	33183
19	672	32938
20	703	32775
21	742	33026
22	777	33034
23	818	33298
24	846	33004
25	875	32805
26	911	32835
27	935	32464
28	964	32297
29	985	31873
30	1018	31848
31	1054	31905
32	1081	31698
33	1123	31929
34	1160	31988
35	1197	32070
36	1224	31858
37	1253	31745
38	1281	31571
39	1318	31652
40	1356	31733
41	1403	32002
42	1444	32138
43	1484	32253
44	1511	32081
45	1548	32123
46	1580	32045
47	1622	32174
48	1655	32133
49	1675	31836
50	1710	31835
51	1738	31689
52	1757	31409
53	1775	31106
54	1831	31472
55	1858	31325
56	1896	31373
57	1923	31233
58	1959	31245
59	1982	31061
60	2007	30909
61	2039	30859
62	2063	30695
63	2088	30545
64	2119	30493
65	2144	30346
66	2174	30276
67	2204	30211
68	2223	30002
69	2251	29918
70	2282	29868
71	2313	29823
72	2335	29656
73	2357	29504
74	2389	29474
75	2410	29305
76	2439	29245
77	2466	29160
78	2489	29023
79	2518	28957
80	2548	28918
81	2573	28813
82	2593	28656
83	2624	28619
84	2657	28610
85	2680	28490
86	2701	28350
87	2728	28279
88	2757	28221
89	2779	28103
90	2804	28011
91	2835	27989
92	2862	27920
93	2891	27867
94	2915	27771
95	2941	27695
96	2970	27657
97	2998	27597
98	3027	27550
99	3057	27520
100	3080	27419
101	3129	27555
102	3160	27521
103	3188	27470
104	3218	27429
105	3238	27312
106	3265	27255
107	3296	27227
108	3336	27271
109	3373	27296
110	3393	27180
111	3420	27117
112	3449	27075
113	3486	27098
114	3518	27078
115	3546	27025
116	3573	26966
117	3605	26950
118	3624	26831
119	3647	26746
120	3668	26646
121	3716	26750
122	3738	26654
123	3761	26574
124	3789	26524
125	3817	26481
126	3846	26443
127	3871	26372
128	3893	26289
129	3917	26219
130	3937	26118
131	3956	26016
132	3976	25921
133	3996	25827
134	4020	25763
135	4044	25692
136	4065	25612
137	4097	25591
138	4121	25532
139	4144	25456
140	4168	25396
141	4188	25306
142	4210	25234
143	4230	25148
144	4253	25078
145	4272	24991
146	4293	24912
147	4316	24846
148	4339	24784
149	4365	24738
150	4385	24655
151	4409	24597
152	4432	24536
153	4471	24561
154	4496	24515
155	4517	24439
156	4540	24381
157	4559	24300
158	4580	24230
159	4603	24167
160	4626	24110
161	4647	24040
162	4668	23974
163	4691	23917
164	4711	23842
165	4735	23789
166	4757	23728
167	4778	23664
168	4794	23577
169	4813	23502
170	4835	23442
171	4852	23360
172	4874	23304
173	4890	23218
174	4914	23170
175	4932	23091
176	4954	23037
177	4972	22961
178	4995	22914
179	5023	22883
180	5042	22814
181	5057	22731
182	5081	22686
183	5105	22642
184	5132	22609
185	5154	22557
186	5177	22511
187	5207	22490
188	5230	22442
189	5246	22364
190	5269	22318
191	5287	22250
192	5305	22185
193	5324	22121
194	5341	22051
195	5360	21988
196	5385	21950
197	5405	21893
198	5423	21831
199	5438	21755
200	5456	21688
201	5474	21628
202	5492	21562
203	5508	21495
204	5524	21424
205	5542	21361
206	5563	21314
207	5581	21251
208	5600	21196
209	5620	21144
210	5645	21110
211	5667	21067
212	5688	21017
213	5708	20965
214	5723	20897
215	5748	20866
216	5767	20811
217	5785	20753
218	5801	20691
219	5819	20631
220	5837	20577
221	5856	20524
222	5870	20455
223	5887	20394
224	5902	20332
225	5917	20267
226	5932	20203
227	5948	20141
228	5964	20082
229	5979	20017
230	5995	19958
231	6010	19895
232	6023	19828
233	6036	19760
234	6051	19700
235	6064	19633
236	6080	19574
237	6092	19507
238	6109	19451
239	6122	19387
240	6137	19330
241	6151	19268
242	6168	19216
243	6183	19158
244	6198	19102
245	6215	19050
246	6228	18987
247	6242	18930
248	6257	18872
249	6270	18811
250	6283	18749
251	6296	18690
252	6310	18630
253	6326	18581
254	6342	18528
255	6358	18478
256	6372	18424
257	6387	18370
258	6402	18317
259	6418	18267
260	6433	18214
261	6446	18159
262	6463	18113
263	6477	18058
264	6495	18015
265	6513	17974
266	6533	17936
267	6552	17895
268	6567	17847
269	6584	17801
270	6596	17745
271	6610	17691
272	6627	17648
273	6646	17611
274	6660	17559
275	6674	17508
276	6690	17462
277	6707	17419
278	6735	17406
279	6751	17360
280	6764	17307
281	6779	17260
282	6792	17210
283	6806	17159
284	6819	17108
285	6830	17052
286	6841	16996
287	6853	16942
288	6864	16887
289	6875	16832
290	6885	16776
291	6896	16721
292	6907	16667
293	6918	16612
294	6929	16560
295	6941	16508
296	6952	16456
297	6963	16404
298	6975	16353
299	6986	16301
300	6997	16250
301	7010	16202
302	7020	16149
303	7030	16095
304	7040	16043
305	7051	15992
306	7062	15942
307	7075	15895
308	7086	15847
309	7099	15801
310	7110	15752
311	7120	15701
312	7131	15652
313	7142	15605
314	7153	15556
315	7164	15507
316	7176	15463
317	7187	15414
318	7198	15367
319	7213	15328
320	7225	15284
321	7237	15240
322	7248	15193
323	7259	15145
324	7270	15099
325	7282	15055
326	7292	15009
327	7303	14963
328	7315	14920
329	7327	14876
330	7340	14836
331	7356	14800
332	7372	14767
333	7384	14724
334	7396	14683
335	7408	14640
336	7422	14603
337	7436	14564
338	7448	14524
339	7459	14481
340	7474	14444
341	7488	14407
342	7504	14374
343	7521	14342
344	7537	14309
345	7547	14265
346	7557	14221
347	7570	14182
348	7583	14146
349	7594	14104
350	7605	14063
351	7615	14018
352	7626	13977
353	7636	13935
354	7647	13894
355	7657	13853
356	7669	13814
357	7680	13772
358	7690	13731
359	7702	13692
360	7714	13655
361	7725	13616
362	7735	13574
363	7747	13536
364	7757	13496
365	7765	13451
366	7775	13411
367	7784	13368
368	7794	13328
369	7805	13291
370	7813	13247
371	7824	13209
372	7832	13166
373	7841	13124
374	7850	13084
375	7858	13042
376	7867	13000
377	7875	12958
378	7883	12917
379	7892	12877
380	7902	12838
381	7910	12797
382	7919	12757
383	7928	12717
384	7936	12677
385	7944	12637
386	7954	12599
387	7962	12559
388	7970	12519
389	7979	12480
390	7987	12440
391	7996	12402
392	8004	12363
393	8013	12325
394	8022	12288
395	8033	12253
396	8042	12216
397	8050	12176
398	8061	12142
399	8069	12103
400	8077	12066
401	8086	12028
402	8093	11988
403	8100	11949
404	8108	11911
405	8115	11873
406	8123	11836
407	8132	11800
408	8140	11762
409	8148	11725
410	8155	11687
411	8164	11651
412	8172	11615
413	8180	11579
414	8187	11541
415	8195	11505
416	8203	11469
417	8211	11433
418	8219	11397
419	8227	11361
420	8236	11328
421	8244	11292
422	8251	11256
423	8260	11221
424	8268	11186
425	8276	11151
426	8284	11117
427	8292	11082
428	8300	11047
429	8308	11012
430	8315	10978
431	8323	10943
432	8330	10909
433	8338	10874
434	8348	10843
435	8356	10809
436	8364	10776
437	8373	10743
438	8381	10710
439	8389	10677
440	8397	10644
441	8405	10611
442	8413	10578
443	8421	10546
444	8429	10513
445	8437	10480
446	8444	10447
447	8452	10415
448	8460	10382
449	8468	10350
450	8476	10317
451	8484	10286
452	8493	10255
453	8500	10223
454	8509	10192
455	8519	10164
456	8531	10137
457	8540	10106
458	8549	10076
459	8558	10046
460	8567	10016
461	8574	9985
462	8583	9955
463	8591	9924
464	8599	9894
465	8606	9862
466	8614	9832
467	8622	9801
468	8630	9771
469	8638	9741
470	8647	9711
471	8657	9684
472	8666	9655
473	8674	9625
474	8681	9595
475	8690	9567
476	8697	9536
477	8707	9508
478	8716	9480
479	8723	9450
480	8731	9421
481	8739	9392
482	8747	9363
483	8755	9334
484	8764	9306
485	8772	9278
486	8782	9251
487	8791	9224
488	8800	9195
489	8808	9168
490	8817	9140
491	8825	9112
492	8833	9083
493	8840	9055
494	8848	9027
495	8857	8999
496	8865	8972
497	8873	8944
498	8881	8916
499	8888	8888
500	8897	8862
501	8905	8834
502	8913	8807
503	8921	8779
504	8928	8752
